JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2460312.791666667, A.D. 2024-Jan-03 07:00:00.0000,  3.069827896288504E+07, -1.319937885215291E+08, -5.721765242883055E+07,  2.961806053778652E+01,  5.796906877309586E+00,  2.511609516711485E+00,
2460312.833333333, A.D. 2024-Jan-03 08:00:00.0000,  3.080489587181323E+07, -1.319728839861309E+08, -5.720859517749919E+07,  2.961355286650856E+01,  5.816723514013470E+00,  2.520196625585284E+00,
2460312.875000000, A.D. 2024-Jan-03 09:00:00.0000,  3.091149652431945E+07, -1.319519081150096E+08, -5.719950701422977E+07,  2.960902919151351E+01,  5.836537832819267E+00,  2.528782814918751E+00,
2460312.916666667, A.D. 2024-Jan-03 10:00:00.0000,  3.101808086278240E+07, -1.319308609165289E+08, -5.719038794234039E+07,  2.960448950841259E+01,  5.856349823082216E+00,  2.537368080409711E+00,
2460312.958333333, A.D. 2024-Jan-03 11:00:00.0000,  3.112464882956501E+07, -1.319097423990905E+08, -5.718123796516462E+07,  2.959993381280818E+01,  5.876159474135520E+00,  2.545952417744408E+00,
2460313.000000000, A.D. 2024-Jan-03 12:00:00.0000,  3.123120036701433E+07, -1.318885525711350E+08, -5.717205708605161E+07,  2.959536210029347E+01,  5.895966775290120E+00,  2.554535822597408E+00,
2460313.041666667, A.D. 2024-Jan-03 13:00:00.0000,  3.133773541746154E+07, -1.318672914411411E+08, -5.716284530836609E+07,  2.959077436645184E+01,  5.915771715834476E+00,  2.563118290631491E+00,
2460313.083333333, A.D. 2024-Jan-03 14:00:00.0000,  3.144425392322188E+07, -1.318459590176266E+08, -5.715360263548845E+07,  2.958617060685649E+01,  5.935574285034325E+00,  2.571699817497528E+00,
2460313.125000000, A.D. 2024-Jan-03 15:00:00.0000,  3.155075582659467E+07, -1.318245553091474E+08, -5.714432907081475E+07,  2.958155081706995E+01,  5.955374472132410E+00,  2.580280398834368E+00,
2460313.166666667, A.D. 2024-Jan-03 16:00:00.0000,  3.165724106986322E+07, -1.318030803242987E+08, -5.713502461775673E+07,  2.957691499264360E+01,  5.975172266348221E+00,  2.588860030268698E+00,
2460313.208333333, A.D. 2024-Jan-03 17:00:00.0000,  3.176370959529478E+07, -1.317815340717141E+08, -5.712568927974196E+07,  2.957226312911721E+01,  5.994967656877688E+00,  2.597438707414906E+00,
2460313.250000000, A.D. 2024-Jan-03 18:00:00.0000,  3.187016134514058E+07, -1.317599165600666E+08, -5.711632306021377E+07,  2.956759522201848E+01,  6.014760632892895E+00,  2.606016425874931E+00,
2460313.291666667, A.D. 2024-Jan-03 19:00:00.0000,  3.197659626163565E+07, -1.317382277980677E+08, -5.710692596263137E+07,  2.956291126686257E+01,  6.034551183541749E+00,  2.614593181238109E+00,
2460313.333333333, A.D. 2024-Jan-03 20:00:00.0000,  3.208301428699892E+07, -1.317164677944685E+08, -5.709749799046988E+07,  2.955821125915167E+01,  6.054339297947644E+00,  2.623168969081001E+00,
2460313.375000000, A.D. 2024-Jan-03 21:00:00.0000,  3.218941536343306E+07, -1.316946365580591E+08, -5.708803914722034E+07,  2.955349519437449E+01,  6.074124965209116E+00,  2.631743784967229E+00,
2460313.416666667, A.D. 2024-Jan-03 22:00:00.0000,  3.229579943312450E+07, -1.316727340976687E+08, -5.707854943638980E+07,  2.954876306800585E+01,  6.093908174399472E+00,  2.640317624447286E+00,
2460313.458333333, A.D. 2024-Jan-03 23:00:00.0000,  3.240216643824335E+07, -1.316507604221662E+08, -5.706902886150136E+07,  2.954401487550621E+01,  6.113688914566403E+00,  2.648890483058348E+00,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000,  3.250851632094333E+07, -1.316287155404598E+08, -5.705947742609420E+07,  2.953925061232123E+01,  6.133467174731599E+00,  2.657462356324074E+00,
2460313.541666667, A.D. 2024-Jan-04 01:00:00.0000,  3.261484902336175E+07, -1.316065994614974E+08, -5.704989513372363E+07,  2.953447027388135E+01,  6.153242943890321E+00,  2.666033239754400E+00,
2460313.583333333, A.D. 2024-Jan-04 02:00:00.0000,  3.272116448761947E+07, -1.315844121942663E+08, -5.704028198796117E+07,  2.952967385560129E+01,  6.173016211010981E+00,  2.674603128845320E+00,
