*******************************************************************************
Ephemeris / WWW_USER Sat Jul  7 18:13:45 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jun-01 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460312.750000000, A.D. 2024-Jan-03 06:00:00.0000, -4.028558292103946E+05, -1.887619442484214E+04,  4.063559031325725E+03,  5.852425807808444E-02, -8.516638654508878E-01, -4.579681424462722E-01,
2460312.791666667, A.D. 2024-Jan-03 07:00:00.0000, -4.026289885621369E+05, -2.194133642604305E+04,  2.414754086844009E+03,  6.749846365575278E-02, -8.511815751725224E-01, -4.580285763322121E-01,
2460312.833333333, A.D. 2024-Jan-03 08:00:00.0000, -4.023698396127390E+05, -2.500462090235987E+04,  7.657967136626883E+02,  7.647321862975927E-02, -8.506318985218065E-01, -4.580528169776570E-01,
2460312.875000000, A.D. 2024-Jan-03 09:00:00.0000, -4.020783814181440E+05, -2.806580517048976E+04, -8.831827058993450E+02,  8.544794843583690E-02, -8.500147845110634E-01, -4.580408164104328E-01,
2460312.916666667, A.D. 2024-Jan-03 10:00:00.0000, -4.017546151054239E+05, -3.112464636709137E+04, -2.532053618647044E+03,  9.442207700466496E-02, -8.493301841093093E-01, -4.579925276727865E-01,
2460312.958333333, A.D. 2024-Jan-03 11:00:00.0000, -4.013985438782672E+05, -3.418090145585922E+04, -4.180685304175093E+03,  1.033950267233928E-01, -8.485780502593212E-01, -4.579079048292428E-01,
2460313.000000000, A.D. 2024-Jan-03 12:00:00.0000, -4.010101730226047E+05, -3.723432723466191E+04, -5.828946878563292E+03,  1.123662183971488E-01, -8.477583378959106E-01, -4.577869029751093E-01,
2460313.041666667, A.D. 2024-Jan-03 13:00:00.0000, -4.005895099123738E+05, -4.028468034274803E+04, -7.476707298103500E+03,  1.213350712105582E-01, -8.468710039654215E-01, -4.576294782456358E-01,
2460313.083333333, A.D. 2024-Jan-03 14:00:00.0000, -4.001365640154223E+05, -4.333171726802461E+04, -9.123835363061060E+03,  1.303010026892991E-01, -8.459160074464569E-01, -4.574355878258319E-01,
2460313.125000000, A.D. 2024-Jan-03 15:00:00.0000, -3.996513468995490E+05, -4.637519435441263E+04, -1.077019972147254E+04,  1.392634286617199E-01, -8.448933093718418E-01, -4.572051899609523E-01,
2460313.166666667, A.D. 2024-Jan-03 16:00:00.0000, -3.991338722386833E+05, -4.941486780928334E+04, -1.241566887298249E+04,  1.482217632205465E-01, -8.438028728518338E-01, -4.569382439676499E-01,
2460313.208333333, A.D. 2024-Jan-03 17:00:00.0000, -3.985841558192022E+05, -5.245049371098084E+04, -1.406011117272154E+04,  1.571754186847055E-01, -8.426446630985850E-01, -4.566347102458055E-01,
2460313.250000000, A.D. 2024-Jan-03 18:00:00.0000, -3.980022155463845E+05, -5.548182801643480E+04, -1.570339483522843E+04,  1.661238055612922E-01, -8.414186474518676E-01, -4.562945502910382E-01,
2460313.291666667, A.D. 2024-Jan-03 19:00:00.0000, -3.973880714510016E+05, -5.850862656886808E+04, -1.734538793841806E+04,  1.750663325077091E-01, -8.401247954060665E-01, -4.559177267079013E-01,
2460313.333333333, A.D. 2024-Jan-03 20:00:00.0000, -3.967417456960442E+05, -6.153064510560380E+04, -1.898595842759862E+04,  1.840024062940057E-01, -8.387630786384461E-01, -4.555042032237669E-01,
2460313.375000000, A.D. 2024-Jan-03 21:00:00.0000, -3.960632625835841E+05, -6.454763926597662E+04, -2.062497411953961E+04,  1.929314317654472E-01, -8.373334710387029E-01, -4.550539447034076E-01,
2460313.416666667, A.D. 2024-Jan-03 22:00:00.0000, -3.953526485617709E+05, -6.755936459935248E+04, -2.226230270659389E+04,  2.018528118053400E-01, -8.358359487398035E-01, -4.545669171642752E-01,
2460313.458333333, A.D. 2024-Jan-03 23:00:00.0000, -3.946099322319608E+05, -7.056557657326192E+04, -2.389781176087580E+04,  2.107659472981470E-01, -8.342704901501194E-01, -4.540430877924854E-01,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -3.938351443559789E+05, -7.356603058165130E+04, -2.553136873849825E+04,  2.196702370929195E-01, -8.326370759868622E-01, -4.534824249595073E-01,
2460313.541666667, A.D. 2024-Jan-04 01:00:00.0000, -3.930283178635121E+05, -7.656048195325681E+04, -2.716284098387107E+04,  2.285650779670781E-01, -8.309356893108240E-01, -4.528848982395682E-01,
2460313.583333333, A.D. 2024-Jan-04 02:00:00.0000, -3.921894878596311E+05, -7.954868596010575E+04, -2.879209573406332E+04,  2.374498645905725E-01, -8.291663155624314E-01, -4.522504784277714E-01,
2460313.625000000, A.D. 2024-Jan-04 03:00:00.0000, -3.913186916324412E+05, -8.253039782615021E+04, -3.041900012323221E+04,  2.463239894904529E-01, -8.273289425991153E-01, -4.515791375589345E-01,
2460313.666666667, A.D. 2024-Jan-04 04:00:00.0000, -3.904159686608607E+05, -8.550537273603739E+04, -3.204342118712094E+04,  2.551868430158835E-01, -8.254235607340005E-01, -4.508708489271513E-01,
2460313.708333333, A.D. 2024-Jan-04 05:00:00.0000, -3.894813606225223E+05, -8.847336584402196E+04, -3.366522586762853E+04,  2.640378133036321E-01, -8.234501627759218E-01, -4.501255871060789E-01,
2460313.750000000, A.D. 2024-Jan-04 06:00:00.0000, -3.885149114018001E+05, -9.143413228302436E+04, -3.528428101745375E+04,  2.728762862440665E-01, -8.214087440707701E-01, -4.493433279699551E-01,
2460313.791666667, A.D. 2024-Jan-04 07:00:00.0000, -3.875166670979566E+05, -9.438742717384081E+04, -3.690045340481623E+04,  2.817016454476933E-01, -8.192993025441692E-01, -4.485240487153484E-01,
2460313.833333333, A.D. 2024-Jan-04 08:00:00.0000, -3.864866760334098E+05, -9.733300563450911E+04, -3.851360971825704E+04,  2.905132722122716E-01, -8.171218387454890E-01, -4.476677278836428E-01,
2460313.875000000, A.D. 2024-Jan-04 09:00:00.0000, -3.854249887621168E+05, -1.002706227898354E+05, -4.012361657152158E+04,  2.993105454905360E-01, -8.148763558931983E-01, -4.467743453842620E-01,
2460313.916666667, A.D. 2024-Jan-04 10:00:00.0000, -3.843316580780739E+05, -1.032000337810864E+05, -4.173034050852754E+04,  3.080928418585637E-01, -8.125628599215551E-01, -4.458438825186313E-01,
2460313.958333333, A.D. 2024-Jan-04 11:00:00.0000, -3.832067390239278E+05, -1.061209937758525E+05, -4.333364800842031E+04,  3.168595354848220E-01, -8.101813595286421E-01, -4.448763220048856E-01,
2460314.000000000, A.D. 2024-Jan-04 12:00:00.0000, -3.820502888996978E+05, -1.090332579780861E+05, -4.493340549071861E+04,  3.256099980999298E-01, -8.077318662257453E-01, -4.438716480033186E-01,
2460314.041666667, A.D. 2024-Jan-04 13:00:00.0000, -3.808623672716058E+05, -1.119365816383195E+05, -4.652947932055339E+04,  3.343435989671719E-01, -8.052143943880758E-01, -4.428298461425800E-01,
2460314.083333333, A.D. 2024-Jan-04 14:00:00.0000, -3.796430359810099E+05, -1.148307200640692E+05, -4.812173581400200E+04,  3.430597048538002E-01, -8.026289613068370E-01, -4.417509035466199E-01,
2460314.125000000, A.D. 2024-Jan-04 15:00:00.0000, -3.783923591534412E+05, -1.177154286304282E+05, -4.971004124352105E+04,  3.517576800031624E-01, -7.999755872426366E-01, -4.406348088623820E-01,
2460314.166666667, A.D. 2024-Jan-04 16:00:00.0000, -3.771104032077380E+05, -1.205904627908551E+05, -5.129426184348006E+04,  3.604368861076915E-01, -7.972542954802438E-01, -4.394815522882459E-01,
2460314.208333333, A.D. 2024-Jan-04 17:00:00.0000, -3.757972368652770E+05, -1.234555780881607E+05, -5.287426381579894E+04,  3.690966822827990E-01, -7.944651123846845E-01, -4.382911256032211E-01,
2460314.250000000, A.D. 2024-Jan-04 18:00:00.0000, -3.744529311592961E+05, -1.263105301657005E+05, -5.444991333569203E+04,  3.777364250417069E-01, -7.916080674586846E-01, -4.370635221968902E-01,
2460314.291666667, A.D. 2024-Jan-04 19:00:00.0000, -3.730775594443059E+05, -1.291550747787755E+05, -5.602107655752110E+04,  3.863554682712601E-01, -7.886831934014451E-01, -4.357987371001031E-01,
2460314.333333333, A.D. 2024-Jan-04 20:00:00.0000, -3.716711974055867E+05, -1.319889678062476E+05, -5.758761962076031E+04,  3.949531632087573E-01, -7.856905261687557E-01, -4.344967670164232E-01,
2460314.375000000, A.D. 2024-Jan-04 21:00:00.0000, -3.702339230687669E+05, -1.348119652623734E+05, -5.914940865607573E+04,  4.035288584198413E-01, -7.826301050344404E-01, -4.331576103543212E-01,
2460314.416666667, A.D. 2024-Jan-04 22:00:00.0000, -3.687658168094794E+05, -1.376238233088614E+05, -6.070630979152204E+04,  4.120818997774899E-01, -7.795019726531286E-01, -4.317812672601187E-01,
